Time ,CWND1,CWND3
3.88615,353760,353760
3.88752,354296,354296
3.8889,354832,354832
3.89047,355368,355368
3.89185,355904,355904
3.89323,356440,356440
3.8948,356976,356976
3.89617,357512,357512
3.89755,358048,358048
3.89912,358584,358584
3.9005,359120,359120
3.90188,359656,359656
3.90345,360192,360192
3.90483,360728,360728
3.9062,361264,361264
3.90777,361800,361800
3.90915,362336,362336
3.91053,362872,362872
3.9121,363408,363408
3.91348,363944,363944
3.91485,364480,364480
3.91643,365016,365016
3.9178,365552,365552
3.91918,366088,366088
3.92075,366624,366624
3.92213,367160,367160
3.9235,367696,367696
3.92508,368232,368232
3.92645,368768,368768
3.92783,369304,369304
3.9294,369840,369840
3.93078,370376,370376
3.93215,370912,370912
3.93373,371448,371448
3.9351,371984,371984
3.93648,372520,372520
3.93805,373056,373056
3.93943,373592,373592
3.9408,374128,374128
3.94238,374664,374664
3.94375,375200,375200
3.94513,375736,375736
3.9467,376272,376272
3.94808,376808,376808
3.94945,377344,377344
3.95103,377880,377880
3.9524,378416,378416
3.95378,378952,378952
3.95535,379488,379488
3.95673,380024,380024
3.95811,380560,380560
3.95968,381096,381096
3.96105,381632,381632
3.96243,382168,382168
3.964,382704,382704
3.96538,383240,383240
3.96676,383776,383776
3.96833,384312,384312
3.96971,384848,384848
3.97108,385384,385384
3.97265,385920,385920
3.97403,386456,386456
3.97541,386992,386992
3.97698,387528,387528
3.97836,388064,388064
3.97973,388600,388600
3.98131,389136,389136
3.98268,389672,389672
3.98406,390208,390208
3.98563,390744,390744
3.98701,391280,391280
3.98838,391816,391816
3.98996,392352,392352
3.99133,392888,392888
3.99271,393424,393424
3.99428,393960,393960
3.99567,394496,394496
3.99705,395032,395032
3.99862,395568,395568
3.99999,396104,396104
4.00137,396640,396640
4.00294,397176,397176
4.00432,397712,397712
4.0057,398248,398248
4.00727,398784,398784
4.00865,399320,399320
4.01002,399856,399856
4.01159,400392,400392
4.01297,400928,400928
4.01435,401464,401464
4.01592,402000,402000
4.0173,402536,402536
4.01867,403072,403072
4.02025,403608,403608
4.02162,404144,404144
4.023,404680,404680
4.02457,405216,405216
